Year,Sales,Growth,Market_Share
2019,2293984.0,-3.68,13.42
2018,2381635.0,-3.34,13.74
2017,2464041.0,-0.94,14.29
2016,2487487.0,-0.57,14.18
2015,2501855.0,5.26,14.32
2014,2376841.0,-1.11,14.38
2013,2403542.0,11.23,15.42
2012,2160859.0,5.04,14.91
2011,2057210.0,17.39,16.1
2010,1752511.0,21.65,15.12
2009,1440653.0,-14.26,13.81
2008,1680321.0,-19.49,12.69
2007,2087048.0,-13.58,12.92
2006,2415059.0,-8.31,14.58
2005,2634041.0,-4.77,15.5
2004,2766025.0,-4.18,16.35
2003,2886575.0,-3.47,17.31
2002,2990472.0,-9.22,17.8
2001,3294190.0,-4.74,19.2
2000,3457996.0,1.28,19.9
1999,3414169.0,3.82,20.2
1998,3288544.0,2.36,21.2
1997,3212698.0,0.98,21.2
1996,3181378.0,0.03,21.1
