Year,Sales,Growth,Market_Share
2019,1958783.0,-3.79,11.46
2018,2036023.0,-1.45,11.75
2017,2065879.0,-1.46,12.0
2016,2096508.0,-1.36,11.95
2015,2125347.0,4.52,12.17
2014,2033442.0,4.43,12.3
2013,1947125.0,5.16,12.5
2012,1851646.0,4.27,12.78
2011,1775802.0,13.55,13.9
2010,1563881.0,16.83,13.49
2009,1338612.0,-25.24,12.83
2008,1790519.0,-20.43,13.52
2007,2250352.0,-6.1,13.93
2006,2396532.0,-9.6,14.47
2005,2651124.0,-3.54,15.6
2004,2748365.0,4.04,16.25
2003,2641586.0,-0.05,15.84
2002,2642786.0,-1.75,15.7
2001,2689954.0,2.83,15.7
2000,2615884.0,0.21,15.1
1999,2610324.0,7.57,15.5
1998,2426530.0,-2.35,15.6
1997,2484945.0,-2.24,16.4
