Year,Sales,Growth,Market_Share
2019,2085186.0,-2.02,12.22
2018,2128201.0,-0.05,12.28
2017,2129177.0,1.08,12.35
2016,2106332.0,0.37,12.01
2015,2098545.0,4.7,12.01
2014,2004373.0,5.83,12.12
2013,1893874.0,7.31,12.15
2012,1764802.0,26.34,12.18
2011,1396837.0,-6.16,10.93
2010,1488588.0,-0.51,12.84
2009,1496211.0,-18.85,14.34
2008,1843669.0,-14.7,13.92
2007,2161467.0,5.59,13.38
2006,2047057.0,13.67,12.36
2005,1800915.0,7.65,10.6
2004,1672862.0,4.84,9.89
2003,1595660.0,4.84,9.57
2002,1522018.0,0.31,9.1
2001,1517271.0,7.37,8.9
2000,1413169.0,9.59,8.1
1999,1289551.0,7.04,7.6
1998,1204765.0,6.38,7.8
1997,1132527.0,5.04,7.5
1996,1078189.0,7.67,7.1
1995,1001407.0,-7.97,0.0
1994,1088082.0,21.98,0.0
1993,892010.0,0.3,0.0
1992,889331.0,-5.32,0.0
1991,939274.0,-5.39,0.0
1990,992760.0,6.86,0.0
1989,929051.0,-0.74,0.0
1988,935960.0,1.31,0.0
1987,923889.0,-8.55,0.0
1986,1010229.0,7.49,0.0
1985,939794.0,14.31,0.0
1984,822164.0,13.12,0.0
1983,726818.0,7.75,0.0
1982,674554.0,-5.26,0.0
1981,711993.0,-0.26,0.0
